0,1,2,3,4,5,6,7,8,9,batch_number,image_indices
2.7835298,-0.47523472,-5.8631587,-6.341104,-8.153585,-8.289885,-8.646224,-9.071703,-9.873665,-10.456548,0,0
12.071451,0.13941365,-2.5616007,-7.378983,-20.014015,-20.277958,-20.664131,-23.690018,-24.645395,-28.924847,0,1
7.168848,-1.4342926,-3.473576,-3.5771432,-10.178503,-10.599774,-11.553187,-12.382528,-13.470253,-16.398216,0,2
9.491753,-2.8537288,-5.4582596,-10.377498,-12.349348,-12.629906,-13.49817,-21.679668,-23.792442,-24.589037,0,3
4.9334497,0.6044134,-0.8298495,-2.1087208,-4.9720855,-8.0231,-9.059624,-10.83821,-11.254661,-12.432056,0,4
2.5525064,-2.0464208,-2.2210546,-3.3943253,-3.58209,-5.9652605,-6.2887487,-7.252831,-7.5286913,-10.683986,0,5
5.047925,-6.7043533,-6.8998156,-8.927422,-14.232435,-16.127708,-19.930653,-20.86831,-21.074244,-21.778717,0,6
3.1117864,-0.69921184,-1.1047883,-2.2939215,-4.321084,-6.7160716,-7.1038346,-7.7638125,-8.099514,-10.151222,0,7
3.41837,0.34897748,-0.66984785,-3.90421,-4.130167,-5.5417624,-6.2072945,-9.285689,-10.578151,-11.472137,0,8
6.4780407,2.4364235,-2.602623,-10.122456,-11.060921,-12.344,-12.450102,-13.991098,-14.493958,-16.47356,0,9
8.398282,-7.502803,-8.967547,-9.358273,-9.856935,-10.705991,-12.64269,-12.779358,-17.808542,-18.856833,0,10
14.210667,-5.698474,-9.386408,-10.383657,-13.832439,-14.519548,-17.06373,-18.602674,-18.978573,-19.25288,0,11
1.9328556,0.63890177,0.13257247,-5.2601986,-6.743213,-8.587797,-10.120221,-11.770923,-16.83265,-17.499159,0,12
15.312464,-6.551033,-10.510571,-12.052263,-12.786438,-14.872879,-18.674698,-19.092775,-20.63606,-20.694393,0,13
12.925934,-2.7223291,-8.543518,-11.6020565,-14.124072,-14.399479,-15.275974,-15.955395,-16.839891,-18.036716,0,14
10.274727,-6.5701885,-9.032445,-9.059578,-10.190325,-10.720926,-10.87739,-11.077024,-11.788399,-20.292747,0,15
4.016492,0.056974,-2.0021276,-5.6528015,-13.039983,-13.390511,-13.84141,-15.382063,-15.999096,-18.192904,0,16
7.347153,-3.1514301,-5.2705936,-5.641208,-7.3765903,-8.236828,-8.697201,-9.061709,-14.172245,-14.403467,0,17
5.3193054,-0.475455,-1.4113123,-1.8227354,-9.956568,-10.305459,-11.503688,-11.6977625,-12.691044,-12.85717,0,18
7.598481,-4.0608797,-4.746667,-5.3444314,-6.75229,-7.7617035,-7.8437543,-12.775589,-13.21994,-14.595301,0,19
-0.25842798,-5.2637258,-6.1562405,-6.5179467,-7.588208,-7.8914385,-8.526381,-8.851537,-10.807214,-13.193751,0,20
6.2884254,0.48977572,-2.0761943,-16.396297,-16.66164,-19.266445,-20.959698,-21.754784,-25.835823,-28.112713,0,21
2.789908,0.62873816,-0.72096205,-4.8072915,-5.0242357,-6.141714,-7.4174557,-10.61008,-12.167555,-13.3098545,0,22
14.952183,-9.273697,-10.907178,-16.114109,-17.527706,-18.273262,-18.996155,-22.299372,-23.847614,-30.295074,0,23
1.7613691,0.6204938,-1.7757527,-2.6575532,-4.295883,-5.883951,-8.424503,-10.278589,-12.656645,-14.318352,0,24
1.5060614,-1.5731666,-2.8727124,-3.2415571,-3.558444,-5.7811685,-8.308266,-9.407606,-11.454206,-14.905275,0,25
2.5045767,-1.3396039,-1.577816,-1.8235054,-3.5989015,-3.7836237,-7.6642456,-7.891724,-13.242247,-15.320465,0,26
10.989929,-4.284949,-4.863777,-7.3444834,-8.688741,-9.924459,-11.578277,-12.716427,-18.671333,-21.839954,0,27
8.250057,1.555798,-8.035468,-9.098455,-11.635012,-11.845199,-12.683095,-13.406766,-14.226142,-14.735314,0,28
6.340104,-2.2185402,-3.4229732,-4.1149035,-6.487762,-8.661259,-10.910221,-12.541409,-14.735246,-16.847317,0,29
2.0130465,0.6063102,-1.2792206,-1.7129784,-2.5878694,-3.5254126,-4.888631,-5.305157,-8.876648,-9.068904,0,30
4.6418447,-2.2112105,-2.690669,-2.8534594,-5.001222,-8.360035,-9.193407,-10.525774,-12.814701,-13.481625,0,31
1.5767455,0.072227694,-2.9081292,-3.2616339,-3.3948617,-3.807453,-4.057926,-4.1980624,-8.761799,-9.343134,0,32
4.1122265,-0.94566333,-1.2693596,-4.835063,-8.515397,-8.570145,-9.702852,-10.972325,-15.386848,-16.066101,0,33
13.207622,-5.861615,-7.4008427,-8.97437,-9.999355,-11.549051,-11.880426,-13.289978,-13.424334,-19.450176,0,34
-1.499578,-1.5093093,-4.233039,-4.420904,-4.540818,-6.211648,-7.346387,-11.771826,-13.063801,-15.606268,0,35
3.3387542,1.837645,0.69733185,-1.9183782,-3.5554423,-6.455703,-10.385622,-11.362879,-14.146828,-17.024372,0,36
0.3696937,0.010161333,-5.219719,-10.083243,-14.922688,-16.020077,-16.326176,-16.91363,-20.729057,-30.648172,0,37
10.275639,-5.8645387,-7.7355547,-9.219482,-13.05158,-15.218108,-15.326296,-17.13533,-18.147327,-21.826492,0,38
7.715358,-0.7492012,-7.595759,-8.104166,-9.285855,-9.714246,-9.829646,-11.938971,-12.35115,-13.240758,0,39
13.423551,-1.9199476,-7.2999125,-12.560083,-13.65886,-13.692654,-14.667749,-15.388175,-15.969646,-18.465302,0,40
7.4884176,-3.2917783,-3.5246456,-4.3418665,-6.94251,-8.615135,-9.355727,-10.759979,-11.231169,-12.913787,0,41
5.444496,-0.60327566,-3.5604868,-5.7772055,-9.041927,-9.748573,-11.330708,-13.126065,-14.366276,-16.16624,0,42
6.2016816,-4.3587494,-4.965906,-5.401673,-7.46489,-8.287237,-8.995323,-10.658103,-11.778926,-12.058449,0,43
7.1840067,-1.2259027,-8.678689,-11.441551,-11.464811,-11.476825,-14.872662,-16.526089,-18.038433,-21.231003,0,44
13.416575,-2.3772266,-9.975975,-12.710308,-16.924438,-17.593628,-18.901543,-20.126545,-21.170105,-25.371574,0,45
5.2047844,0.8287196,-1.5765231,-5.677474,-5.6996655,-6.4116783,-12.2795315,-12.896754,-14.613456,-16.338974,0,46
-0.09067132,-2.3641791,-4.2977266,-4.472872,-4.5788617,-4.8016515,-5.2650056,-5.3493776,-6.4467707,-13.229116,0,47
6.440299,3.250575,0.68566376,-5.586256,-8.229013,-9.64015,-15.474225,-17.355877,-18.261297,-18.331253,0,48
3.682697,0.49624035,-0.34284872,-3.4651117,-5.2100105,-7.232009,-7.4186606,-8.393131,-8.663752,-11.890169,0,49
6.591912,-6.0853443,-8.439732,-8.989225,-9.814965,-10.574284,-11.844266,-13.050135,-15.1708355,-17.882748,0,50
5.6347003,-2.777071,-4.4388733,-4.695642,-5.2845592,-5.3596745,-6.9977236,-7.0639396,-8.195698,-10.593384,0,51
-1.3485551,-2.2143245,-2.8468673,-3.175312,-5.535836,-5.622901,-6.0396028,-11.194663,-12.942865,-16.152315,0,52
1.9502873,1.7356122,-2.448174,-2.7827606,-4.9216633,-4.924059,-5.7872725,-8.409829,-13.530926,-15.809537,0,53
13.760012,2.3006158,-5.385233,-8.636733,-13.496435,-15.044048,-18.930727,-19.675537,-20.783789,-26.230682,0,54
9.199194,1.1182112,-6.1906233,-6.667795,-7.56653,-8.655527,-10.026391,-11.123594,-13.664489,-13.718113,0,55
5.468023,-2.167464,-3.5121803,-3.8871598,-7.262986,-9.579345,-10.257813,-10.728181,-15.188955,-15.890715,0,56
0.1402852,-0.553671,-0.77824503,-4.7995815,-4.9788537,-6.645195,-7.2171516,-7.718609,-8.526796,-8.862494,0,57
-0.556069,-1.0938276,-1.3368254,-1.7686405,-3.6279583,-3.817441,-6.373025,-6.534664,-7.188241,-9.004771,0,58
0.23425734,-1.7703332,-1.9649001,-2.2503767,-2.5889926,-6.5798316,-7.667264,-7.754144,-7.830984,-8.950393,0,59
9.9572,1.4065622,-1.6952844,-8.089641,-8.889176,-11.351355,-14.614967,-14.674028,-15.915628,-17.206095,0,60
2.0792768,1.8660297,-1.6198262,-2.5693922,-3.7646382,-4.341878,-10.582384,-13.353155,-15.177818,-18.29195,0,61
6.4586325,-4.372306,-4.9227552,-6.109044,-6.894887,-7.296231,-8.744042,-9.660379,-10.116266,-11.525099,0,62
3.9694886,-4.338324,-6.2217484,-6.2679377,-6.9184885,-10.282673,-11.573055,-11.760895,-12.494344,-14.734727,0,63
2.8092752,-0.61453766,-0.91292274,-2.3162346,-4.5123367,-6.653987,-6.805877,-8.385616,-8.817386,-12.002728,0,64
4.0380793,-0.11112131,-1.6804723,-1.7936243,-3.9036937,-3.9464722,-6.8907604,-8.055401,-9.172708,-10.50009,0,65
5.5205693,-2.3503463,-3.1807437,-10.299638,-11.9576,-12.017748,-12.300594,-12.393322,-16.428019,-17.69209,0,66
12.166699,-11.429506,-13.334353,-15.277038,-16.971802,-17.45319,-20.420433,-21.09087,-22.4395,-25.431416,0,67
2.8730333,-0.85857517,-2.4912648,-4.246052,-5.1452,-5.332802,-5.446549,-6.2353983,-9.953305,-13.479321,0,68
5.2173123,-5.133204,-5.9914303,-6.1844215,-6.474901,-7.1028914,-7.720113,-8.09531,-9.235622,-13.929685,0,69
0.14703968,-0.054666825,-0.33000946,-1.3031011,-2.8042355,-5.234537,-5.3288875,-8.268747,-9.047617,-11.572154,0,70
4.8176923,0.32342923,-2.6618767,-2.787878,-3.356219,-6.611394,-7.925378,-8.879213,-10.644529,-12.394709,0,71
7.093768,1.1621197,-7.2648287,-8.96174,-9.58362,-9.7271805,-10.17976,-11.995502,-13.467981,-14.282152,0,72
9.866808,-2.9746253,-6.725681,-7.7009354,-8.55816,-8.952539,-9.461348,-9.836369,-10.544374,-13.993219,0,73
5.9186115,-4.4000177,-5.6716127,-7.2559023,-11.187204,-11.66505,-11.882326,-12.486315,-16.610575,-19.19206,0,74
9.645075,-5.265524,-6.3109784,-7.16121,-8.010935,-10.238537,-10.35158,-13.922745,-15.945692,-18.995163,0,75
3.921551,-2.7488637,-6.0550313,-6.1340246,-9.251643,-10.52684,-13.011239,-13.264867,-14.172518,-17.326817,0,76
4.4360943,-1.8373208,-7.7897615,-7.858186,-8.329328,-8.568752,-8.960085,-10.955071,-11.724404,-12.1802025,0,77
3.4425647,0.025599621,-3.8577018,-5.1090446,-7.8078346,-8.483658,-12.78561,-14.4948,-16.305088,-16.884195,0,78
12.312431,-6.0167723,-7.777688,-10.011337,-12.694435,-13.875158,-14.445327,-17.046768,-19.484158,-23.850426,0,79
8.171261,1.7591403,-4.8895373,-7.0900836,-10.560868,-12.013795,-12.831646,-12.981476,-16.563606,-17.391956,0,80
1.1105094,0.038930215,-3.5309463,-6.4539776,-7.2521706,-9.871451,-12.178503,-12.7126255,-12.714424,-13.891169,0,81
11.010286,-8.151663,-11.544098,-13.445717,-14.750693,-15.548949,-16.140095,-16.307259,-16.473156,-17.668108,0,82
11.169655,-1.4891524,-5.8877645,-9.52547,-11.455095,-12.78156,-17.084957,-17.851223,-21.470093,-22.11702,0,83
